document,element,frequency_in_document
C00001,know,4
C00001,associ,5
C00001,said,1
C00001,polit,3
C00001,colonel,1
C00003,waterg,1
C00003,airbag,1
C00003,assist,9
C00003,quarl,2
C00003,prosecutor,5
C001d4,laden,51
C001d4,know,4
C001d4,publish,2
C001d4,assist,3
C001d4,polit,4
