Corpus 1,Corpus 2,value
yosishahbar,ShbrYwsy,0.5198933893410035
prydmn6,212pondi,0.6390886573190475
yosishahbar,yosi_shahbar,0.7143719708612739
yosi_shahbar,ShbrYwsy,0.7393592245348517
yosi_shahbar,212pondi,0.7982476356228009
yosi_shahbar,prydmn6,0.8981979721665848
yosishahbar,212pondi,0.9233176410494545
ShbrYwsy,212pondi,0.9335896682784701
yosishahbar,prydmn6,0.9626100084006413
prydmn6,ShbrYwsy,1.0
