Corpus 1,Corpus 2,value
MyWyzmn8996,Ah56015457,0.4519442397529064
lion7053,FrazzleUnicorn,0.4523575149063258
NatiFrid,Ha_Drakon,0.4526567035230912
slinkysown68849,MyWyzmn8996,0.45387980085247803
NatiFrid,AmirLevy3,0.45531724562170717
ZaguriMor13184,FrazzleUnicorn,0.45645368423767346
indianados1,Nobleinopal,0.45727031521818284
NatiFrid,NacShaul,0.45729182688691244
SwmrwnWry38466,NatiFrid,0.4575678282352285
Ha_Drakon,AriBargar,0.45784093796626024
Ha_Drakon,Ah56015457,0.45828776870679255
NatiFrid,Az291058,0.4586499523749287
lion7053,edihoo2,0.4596071500397895
MyWyzmn8996,AriBargar,0.4608428315662743
ziporaortal,edihoo2,0.46232345043294176
ziporaortal,KingDavid1711,0.4623807823270247
AmirLevy3,Ah56015457,0.46310551940559497
SwmrwnWry38466,Nobleinopal,0.46502202982106183
avar14700079,NatiFrid,0.4650535638565393
OFgSTCH7IvIILSB,AriBargar,0.46577816569755603
slinkysown68849,indianados1,0.4663218506645353
tamim1379487781,Nobleinopal,0.46704275449872257
Nobleinopal,NacShaul,0.46712078744135543
Nobleinopal,AmirLevy3,0.4672730036128793
NacShaul,Ah56015457,0.4675147218301425
OFgSTCH7IvIILSB,Ah56015457,0.4684023724915067
tamim1379487781,NatiFrid,0.46881007419984744
NacShaul,AriBargar,0.4693765018670903
Nobleinopal,Ha_Drakon,0.4694063526706572
AriBargar,AmirLevy3,0.46968989966822694
SwmrwnWry38466,Ah56015457,0.4700165693089463
KingDavid1711,Ha_Drakon,0.47279337374795166
MyWyzmn8996,Meir1973782,0.47356173334440055
paXqueville,NatiFrid,0.47373035130089625
wtf25986999,AmirLevy3,0.47406281886088913
wtf25986999,SwmrwnWry38466,0.4740814605013384
NatiFrid,1Ycmeired,0.4744686663102512
ptrywt21,FrazzleUnicorn,0.474999309431341
slinkysown68849,InbalShaky,0.47547398878411157
Z87362157,NatiFrid,0.4755322405977146
wtf25986999,Ha_Drakon,0.47602048052117485
smolan_with_s,NatiFrid,0.4760952459515484
SwmrwnWry38466,AriBargar,0.4765938642335659
tamim1379487781,Ah56015457,0.47662550534071485
indianados1,edihoo2,0.4768445317369504
MyWyzmn8996,AmnonShulman,0.47779206733757884
slinkysown68849,Ha_Drakon,0.47836713264572517
tamim1379487781,slinkysown68849,0.4784025565069926
slinkysown68849,SwmrwnWry38466,0.478667264309298
Z87362157,Ah56015457,0.47881842814710057
indianados1,Meir1973782,0.4792030327989072
ziporaortal,lion7053,0.4792570742610765
Meir1973782,AmirLevy3,0.4800823259728423
wtf25986999,NacShaul,0.48061069593103034
Z87362157,Nobleinopal,0.4806916481139879
slinkysown68849,AmirLevy3,0.48090834332781535
NatiFrid,InbalShaky,0.48193780546951676
Meir1973782,Ha_Drakon,0.48210424473794183
Az291058,Ah56015457,0.4823385148896454
edihoo2,MyWyzmn8996,0.4827637197258481
wtf25986999,tamim1379487781,0.48297349564858894
tamim1379487781,AriBargar,0.4832027577506795
InbalShaky,Ah56015457,0.48518526595926265
slinkysown68849,NacShaul,0.4852620704990753
Z87362157,AriBargar,0.4853703389417903
indianados1,BendavidDudi,0.4856427630262687
paXqueville,AriBargar,0.4858574436921101
Az291058,AriBargar,0.4864220584731792
ziporaortal,MyWyzmn8996,0.48684640502971255
wtf25986999,Z87362157,0.48747984518879217
elizipori,NatiFrid,0.48755510845944433
gl_xllk,NatiFrid,0.4882514979572335
AriBargar,1Ycmeired,0.48869453638088955
avar14700079,Ah56015457,0.48885130601624754
tamim1379487781,Meir1973782,0.4890356914972219
Nobleinopal,InbalShaky,0.4893306553681734
MyWyzmn8996,FrazzleUnicorn,0.4893534774279222
slinkysown68849,Z87362157,0.48978573090155214
avar14700079,AriBargar,0.4906713794953003
InbalShaky,AriBargar,0.4915131098983785
MyWyzmn8996,BendavidDudi,0.4915140570947211
ilan97933576,Nobleinopal,0.49197029656095675
smolan_with_s,AriBargar,0.49269070170694307
Meir1973782,InbalShaky,0.4928666402345243
ziporaortal,SwmrwnWry38466,0.493406927543495
ilan97933576,NatiFrid,0.4936408162794822
wtf25986999,InbalShaky,0.4937898410642306
ziporaortal,tamim1379487781,0.4954804132339425
AmnonShulman,AmirLevy3,0.49574371854331617
NacShaul,Meir1973782,0.4958033864051258
MyWyzmn8996,KingDavid1711,0.4964416179355397
paXqueville,Ah56015457,0.4975982578414424
